App;Spend in USD;3D ROAS;7D ROAS;14D ROAS;30D ROAS;90D ROAS;Impressions;Clicks;Installs;CTR;Install Rate;eCPC;eCPM;1D Retention;3D Retention;7D Retention;3D Total Revenue;7D Total Revenue;14D Total Revenue;30D Total Revenue;90D Total Revenue
MoneyFarm USA;0.6;0;0;0;0;0;3;0;1;0;0;0;200;0;0;0;0;0;0;0;0
Dancing Brick Shot Blocks: 16 Square Line minimize;0.6;0;0;88;88;88;3;1;1;33.33;100;0.6;200;0;0;0;0;0;0.53;0.53;0.53
Backflip Stickman Ninja;0.6;0;0;0;0;0;3;3;1;100;33.33;0.2;200;0;100;0;0;0;0;0;0
Bus Games - City Bus Driving Sim 2017;0.6;0;0;0;0;0;3;1;1;33.33;100;0.6;200;0;0;0;0;0;0;0;0
weed business;0.6;0;0;0;0;0;3;1;1;33.33;100;0.6;200;100;0;0;0;0;0;0;0
clan of rhinos;0.6;0;0;0;0;0;4;1;1;25;100;0.6;150;0;0;0;0;0;0;0;0
Beach Bike;0.6;110;110;110;110;110;4;1;1;25;100;0.6;150;100;100;0;0.66;0.66;0.66;0.66;0.66
Tiger Evolution;0.6;0;0;0;0;0;4;3;1;75;33.33;0.2;150;100;0;0;0;0;0;0;0
Stick Trivia;0.6;0;0;0;0;0;4;2;1;50;50;0.3;150;0;0;0;0;0;0;0;0
meme clicker;0.6;0;0;0;0;0;4;2;1;50;50;0.3;150;100;0;0;0;0;0;0;0
ny city firefighter 2017;0.6;0;0;0;0;0;4;2;1;50;50;0.3;150;0;0;0;0;0;0;0;0
social network tycoon;0.6;110;110;110;110;110;4;3;1;75;33.33;0.2;150;100;0;0;0.66;0.66;0.66;0.66;0.66
com.mingblowing.ludoking;0.6;0;0;440;440;440;5;4;1;80;25;0.15;120;0;0;0;0;0;2.64;2.64;2.64
Hand Doctor;0.6;0;0;0;0;0;5;2;2;40;100;0.3;120;0;0;0;0;0;0;0;0
gunbuilder2;0.6;104.5;104.5;104.5;104.5;104.5;5;2;1;40;50;0.3;120;100;0;0;0.63;0.63;0.63;0.63;0.63
Gopogo;0.6;0;0;0;0;0;5;1;1;20;100;0.6;120;0;0;0;0;0;0;0;0
future heroes;0.6;0;0;0;0;0;5;1;1;20;100;0.6;120;100;0;0;0;0;0;0;0
gang.io;0.6;0;0;0;0;0;5;3;1;60;33.33;0.2;120;0;0;0;0;0;0;0;0
boom blocks;0.6;0;0;0;0;0;5;3;1;60;33.33;0.2;120;0;0;0;0;0;0;0;0
tigers of the forest;0.6;0;0;0;0;0;5;1;1;20;100;0.6;120;100;0;0;0;0;0;0;0
brownies;0.6;0;0;0;0;0;5;1;1;20;100;0.6;120;0;0;0;0;0;0;0;0
Shopping Mall Parking Driving Simulator - Real Car Racing Test Sim Run Race Games;0.6;0;0;0;0;0;5;1;1;20;100;0.6;120;0;0;0;0;0;0;0;0
got got;0.6;0;0;0;0;0;6;1;1;16.67;100;0.6;100;100;0;0;0;0;0;0;0
knife flip flop;0.6;27.5;27.5;27.5;27.5;27.5;6;2;1;33.33;50;0.3;100;100;0;0;0.17;0.17;0.17;0.17;0.17
just tap on bugs;0.6;0;0;0;0;0;6;2;1;33.33;50;0.3;100;100;0;0;0;0;0;0;0
Football Club Kit;0.6;0;0;0;0;0;6;2;1;33.33;50;0.3;100;100;0;0;0;0;0;0;0
birds evolution;0.6;0;0;0;0;0;6;1;1;16.67;100;0.6;100;100;0;0;0;0;0;0;0
halloween muffin maker;0.6;0;0;0;0;0;6;3;1;50;33.33;0.2;100;100;0;0;0;0;0;0;0
SAS 4;0.6;0;0;0;0;0;6;3;1;50;33.33;0.2;100;0;0;0;0;0;0;0;0
whitetiles5-mobile;0.6;0;0;0;0;0;6;3;1;50;33.33;0.2;100;0;0;0;0;0;0;0;0
vienna;0.6;0;0;0;0;0;6;1;1;16.67;100;0.6;100;100;0;0;0;0;0;0;0
train driver 16 free;0.6;0;0;0;0;0;6;4;1;66.67;25;0.15;100;100;100;0;0;0;0;0;0
2017 soccer physics 2 player football sports games;0.6;0;0;0;0;0;6;1;1;16.67;100;0.6;100;0;0;0;0;0;0;0;0
Home Run Derby;0.6;71.5;71.5;71.5;71.5;71.5;7;2;1;28.57;50;0.3;85.71;100;0;0;0.43;0.43;0.43;0.43;0.43
Dumb Doodle Suicide;0.6;0;132;132;132;132;7;0;1;0;0;0;85.71;0;100;0;0;0.79;0.79;0.79;0.79
robots war;0.6;0;0;0;0;0;7;1;1;14.29;100;0.6;85.71;0;0;0;0;0;0;0;0
Switchy Colors;0.6;0;0;0;0;0;7;1;1;14.29;100;0.6;85.71;100;0;0;0;0;0;0;0
bhop pro;0.6;0;0;0;0;0;7;1;1;14.29;100;0.6;85.71;0;0;0;0;0;0;0;0
swamp crocodile simulator;0.6;0;0;0;0;0;8;2;1;25;50;0.3;75;100;0;0;0;0;0;0;0
slendrina the cellar 2;0.6;220;220;220;220;220;8;6;1;75;16.67;0.1;75;0;0;0;1.32;1.32;1.32;1.32;1.32
Pipe Lines : Hexa;0.6;0;0;0;0;0;8;1;1;12.5;100;0.6;75;0;0;0;0;0;0;0;0
chocolatemaker;0.6;0;0;0;0;0;8;1;1;12.5;100;0.6;75;100;0;0;0;0;0;0;0
hungry cat!;0.6;0;0;0;0;0;9;3;1;33.33;33.33;0.2;66.67;0;0;0;0;0;0;0;0
jurassic craft;0.6;0;0;0;0;0;9;1;1;11.11;100;0.6;66.67;0;100;0;0;0;0;0;0
Freddy's Jumpscare Factory;0.6;0;0;0;0;0;9;2;1;22.22;50;0.3;66.67;0;0;0;0;0;0;0;0
submarine transform robot;0.6;0;0;0;0;0;9;3;1;33.33;33.33;0.2;66.67;100;100;0;0;0;0;0;0
standoff;0.6;0;0;0;0;0;9;0;1;0;0;0;66.67;0;0;0;0;0;0;0;0
Bike Hill Climb;0.6;0;0;0;0;0;9;4;1;44.44;25;0.15;66.67;0;100;0;0;0;0;0;0
army training school;0.6;0;0;0;0;0;10;5;2;50;40;0.12;60;50;0;0;0;0;0;0;0
AirPlane Race;0.6;0;0;0;0;0;10;3;1;30;33.33;0.2;60;0;0;0;0;0;0;0;0
Crafting Cars;0.6;0;0;0;0;0;10;1;1;10;100;0.6;60;0;0;0;0;0;0;0;0
Weird Cup;0.6;0;0;0;0;0;10;1;1;10;100;0.6;60;100;0;0;0;0;0;0;0
Flappy Cheats Free- Cheat and Hack Your High Score;0.6;0;0;0;0;0;10;1;1;10;100;0.6;60;100;0;0;0;0;0;0;0
DogHotel Free: My Dog Boarding Kennel;0.6;110;110;110;110;110;10;1;1;10;100;0.6;60;0;100;0;0.66;0.66;0.66;0.66;0.66
cars champion racing;0.6;0;0;0;0;0;10;0;1;0;0;0;60;100;0;0;0;0;0;0;0
Weed Boss;0.6;0;0;0;0;0;10;9;1;90;11.11;0.07;60;0;100;0;0;0;0;0;0
football swipe hero: soccer goalkeeper;0.6;27.5;27.5;38.5;38.5;38.5;11;2;2;18.18;100;0.3;54.55;100;0;0;0.17;0.17;0.23;0.23;0.23
crazy car stunts 2017;0.6;0;0;0;0;0;11;5;1;45.45;20;0.12;54.55;100;0;0;0;0;0;0;0
Christmas Snake;0.6;0;0;0;0;0;11;3;1;27.27;33.33;0.2;54.55;0;0;0;0;0;0;0;0
plant army zombie shooter;0.6;0;0;0;0;0;11;4;1;36.36;25;0.15;54.55;100;0;0;0;0;0;0;0
X Not Available;0.6;0;0;0;0;0;11;4;1;36.36;25;0.15;54.55;0;0;0;0;0;0;0;0
easter egg painting? kids game;0.6;0;0;0;0;0;11;6;1;54.55;16.67;0.1;54.55;100;0;0;0;0;0;0;0
Extreme Ninja Soccer Mania;0.6;209;209;209;209;209;12;1;1;8.33;100;0.6;50;100;0;0;1.25;1.25;1.25;1.25;1.25
3d badminton game smash championship;0.6;0;0;0;0;0;12;3;1;25;33.33;0.2;50;0;0;0;0;0;0;0;0
airfield tycoon clicker;0.6;0;0;0;0;0;12;1;1;8.33;100;0.6;50;100;0;0;0;0;0;0;0
survival island savage free;0.6;0;0;0;0;0;12;5;1;41.67;20;0.12;50;0;0;0;0;0;0;0;0
zombie soccer physics games;0.6;0;0;0;0;0;13;1;1;7.69;100;0.6;46.15;0;0;0;0;0;0;0;0
farm simulator games;0.6;0;0;0;0;0;13;6;1;46.15;16.67;0.1;46.15;0;100;0;0;0;0;0;0
Red Ball GO;0.6;0;0;0;0;0;13;1;1;7.69;100;0.6;46.15;100;100;0;0;0;0;0;0
wrestling revolution fighting 3d;0.6;0;0;0;0;0;15;5;1;33.33;20;0.12;40;0;0;0;0;0;0;0;0
Logic Pic;0.6;165;165;231;231;231;15;1;1;6.67;100;0.6;40;0;0;0;0.99;0.99;1.39;1.39;1.39
Gold Miner Mania;0.6;0;0;0;0;0;17;4;1;23.53;25;0.15;35.29;0;0;0;0;0;0;0;0
war soldier combat shooter;0.6;0;0;0;0;0;17;3;1;17.65;33.33;0.2;35.29;0;0;0;0;0;0;0;0
StoryFire : Stories w/ Friends;0.6;0;0;0;0;0;18;2;1;11.11;50;0.3;33.33;0;0;0;0;0;0;0;0
lightbike2;0.6;0;0;0;0;0;19;1;1;5.26;100;0.6;31.58;100;0;0;0;0;0;0;0
Vlogger Go Viral;0.6;0;0;0;0;0;19;1;1;5.26;100;0.6;31.58;100;0;0;0;0;0;0;0
Downhill Monster Truck;0.6;0;0;0;0;0;20;12;2;60;16.67;0.05;30;0;0;0;0;0;0;0;0
My Story;0.6;0;0;0;0;0;20;4;1;20;25;0.15;30;0;0;0;0;0;0;0;0
A Hulk Power Smash FREE;0.6;0;0;0;0;0;21;5;1;23.81;20;0.12;28.57;0;0;0;0;0;0;0;0
island survival;0.6;110;220;220;220;220;22;6;1;27.27;16.67;0.1;27.27;0;0;0;0.66;1.32;1.32;1.32;1.32
Garfield Chef;0.6;0;0;0;0;0;22;1;1;4.55;100;0.6;27.27;0;0;0;0;0;0;0;0
Badminton League;0.6;0;0;0;0;0;22;1;1;4.55;100;0.6;27.27;0;0;0;0;0;0;0;0
com.umbrella.stackbuddies;0.6;0;0;0;0;0;23;4;1;17.39;25;0.15;26.09;100;0;0;0;0;0;0;0
slap.io;0.6;0;0;0;0;0;24;11;1;45.83;9.09;0.05;25;100;0;0;0;0;0;0;0
pegasus simulator;0.6;0;0;0;0;0;24;10;1;41.67;10;0.06;25;0;0;0;0;0;0;0;0
karate do fighting tiger 3d;0.6;0;0;0;0;0;25;1;1;4;100;0.6;24;0;0;0;0;0;0;0;0
Redungeon;0.6;0;0;0;0;0;26;1;1;3.85;100;0.6;23.08;0;0;0;0;0;0;0;0
HILL RACER 2 äóñ extreme speed challenge;0.6;0;0;0;0;0;26;2;1;7.69;50;0.3;23.08;0;0;0;0;0;0;0;0
Rock Guitar legendary hero;0.6;110;110;110;110;110;28;4;1;14.29;25;0.15;21.43;0;0;0;0.66;0.66;0.66;0.66;0.66
Magic Touch: Wizard for Hire;0.6;0;0;0;0;0;28;3;1;10.71;33.33;0.2;21.43;0;0;0;0;0;0;0;0
the grand auto;0.6;220;1050.31;1050.31;1050.31;1050.31;28;4;1;14.29;25;0.15;21.43;0;0;0;1.32;6.3;6.3;6.3;6.3
mountain sniper;0.6;0;0;0;0;0;28;11;1;39.29;9.09;0.05;21.43;0;0;0;0;0;0;0;0
OH iOS;0.6;110;110;110;110;110;28;3;1;10.71;33.33;0.2;21.43;0;0;0;0.66;0.66;0.66;0.66;0.66
adventure beaks;0.6;0;0;0;0;0;32;16;1;50;6.25;0.04;18.75;0;0;0;0;0;0;0;0
smile inc.;0.6;0;0;0;0;0;33;3;1;9.09;33.33;0.2;18.18;0;0;0;0;0;0;0;0
hair salon;0.6;0;0;0;0;0;33;5;1;15.15;20;0.12;18.18;100;0;0;0;0;0;0;0
connect;0.6;27.5;27.5;27.5;27.5;27.5;33;9;1;27.27;11.11;0.07;18.18;0;100;0;0.17;0.17;0.17;0.17;0.17
army training school;0.6;0;0;0;0;0;33;10;1;30.3;10;0.06;18.18;0;0;0;0;0;0;0;0
Anonymous859020175;0.6;0;0;0;0;0;34;3;1;8.82;33.33;0.2;17.65;0;0;0;0;0;0;0;0
tip tap soccer;0.6;822.95;822.95;827.48;1232.27;1232.27;34;3;1;8.82;33.33;0.2;17.65;100;100;0;4.94;4.94;4.96;7.39;7.39
fidget spinner simulator;0.6;0;0;0;0;0;35;16;1;45.71;6.25;0.04;17.14;0;0;0;0;0;0;0;0
Orbit's Way;0.6;0;0;0;0;0;35;5;1;14.29;20;0.12;17.14;0;0;0;0;0;0;0;0
school bus driving simulator 3d free: school kids pick & drop simulation game;0.6;0;0;0;0;0;35;17;1;48.57;5.88;0.04;17.14;100;0;0;0;0;0;0;0
MikadoLite;0.6;0;0;0;0;0;35;21;1;60;4.76;0.03;17.14;100;0;0;0;0;0;0;0
ATM Money;0.6;0;0;0;0;0;36;13;1;36.11;7.69;0.05;16.67;0;0;0;0;0;0;0;0
zoo;0.6;110;110;110;275;275;41;4;1;9.76;25;0.15;14.63;0;0;0;0.66;0.66;0.66;1.65;1.65
pet city;0.6;0;0;0;0;0;43;0;1;0;0;0;13.95;100;0;0;0;0;0;0;0
Kickerinho;0.6;49.5;49.5;49.5;49.5;49.5;43;3;1;6.98;33.33;0.2;13.95;0;0;0;0.3;0.3;0.3;0.3;0.3
tutu run;0.6;0;0;0;0;0;45;23;1;51.11;4.35;0.03;13.33;100;0;0;0;0;0;0;0
Case Simulator Hero;0.6;0;0;0;0;0;46;1;1;2.17;100;0.6;13.04;0;0;0;0;0;0;0;0
call of battlefield;0.6;0;0;0;0;0;48;2;1;4.17;50;0.3;12.5;0;0;0;0;0;0;0;0
3d bike blast;0.6;0;0;0;0;0;49;3;1;6.12;33.33;0.2;12.24;0;0;0;0;0;0;0;0
Special Forces Group 2;0.6;71.5;71.5;71.5;71.5;71.5;49;4;1;8.16;25;0.15;12.24;0;0;0;0.43;0.43;0.43;0.43;0.43
sky burger;0.6;0;0;0;0;0;49;13;1;26.53;7.69;0.05;12.24;0;100;0;0;0;0;0;0
Crazy Penguin Avalanche Racer;0.6;0;0;0;0;0;50;6;1;12;16.67;0.1;12;0;0;0;0;0;0;0;0
fantastic 3d race;0.6;0;0;0;0;0;51;30;1;58.82;3.33;0.02;11.76;100;0;0;0;0;0;0;0
dino evolution;0.6;0;0;0;0;0;52;18;1;34.62;5.56;0.03;11.54;100;0;0;0;0;0;0;0
OH iOS;0.6;27.5;55;55;55;55;53;3;2;5.66;66.67;0.2;11.32;100;0;0;0.17;0.33;0.33;0.33;0.33
Cops vs Robbers Best Action Shooting Sniper Games for Free;0.6;0;0;0;0;0;53;5;1;9.43;20;0.12;11.32;0;0;0;0;0;0;0;0
ninja warrior;0.6;0;0;0;0;0;54;5;1;9.26;20;0.12;11.11;0;0;0;0;0;0;0;0
pktball;0.6;0;0;0;0;0;54;17;2;31.48;11.76;0.04;11.11;100;100;0;0;0;0;0;0
4P1W iOS DE;0.6;440;440;440;440;440;55;3;1;5.45;33.33;0.2;10.91;0;0;0;2.64;2.64;2.64;2.64;2.64
Lollipop2 & Marshmallow Match3;0.6;0;0;0;110;110;55;1;1;1.82;100;0.6;10.91;0;0;0;0;0;0;0.66;0.66
Ball King;0.6;53.9;53.9;53.9;53.9;53.9;57;6;2;10.53;33.33;0.1;10.53;100;50;0;0.32;0.32;0.32;0.32;0.32
Cup Cake;0.6;0;0;0;0;0;59;4;1;6.78;25;0.15;10.17;0;0;0;0;0;0;0;0
FiveDiffs;0.6;0;0;0;0;0;62;20;1;32.26;5;0.03;9.68;0;0;0;0;0;0;0;0
girlspjparty;0.6;0;0;0;0;0;65;19;1;29.23;5.26;0.03;9.23;0;0;0;0;0;0;0;0
Battle Run;0.6;0;0;0;0;0;67;3;1;4.48;33.33;0.2;8.96;100;0;0;0;0;0;0;0
???? ???????;0.6;0;0;0;0;0;71;9;1;12.68;11.11;0.07;8.45;0;0;0;0;0;0;0;0
penguin simulator;0.6;0;0;0;0;0;71;35;1;49.3;2.86;0.02;8.45;0;0;0;0;0;0;0;0
Puppet Ice Hockey: Championship of the big head nofeet Marionette slapshot stars;0.6;0;0;0;0;0;77;5;1;6.49;20;0.12;7.79;100;0;0;0;0;0;0;0
Battle Bay;0.6;7843.05;9503.17;12292.59;16637.08;16637.08;79;1;1;1.27;100;0.6;7.59;0;0;0;47.06;57.02;73.76;99.82;99.82
snake '97: snake and apple;0.6;55;55;55;55;55;83;5;1;6.02;20;0.12;7.23;100;0;0;0.33;0.33;0.33;0.33;0.33
photo finish;0.6;0;0;0;0;0;100;9;1;9;11.11;0.07;6;100;0;0;0;0;0;0;0
pop balloon;0.6;0;0;0;0;0;118;18;1;15.25;5.56;0.03;5.08;100;100;0;0;0;0;0;0
crash club;0.6;0;165;165;165;165;123;20;1;16.26;5;0.03;4.88;100;0;0;0;0.99;0.99;0.99;0.99
Fashion Design World;0.6;0;0;0;0;0;126;7;1;5.56;14.29;0.09;4.76;100;0;0;0;0;0;0;0
bee brilliant;0.6;71.5;71.5;71.5;71.5;71.5;162;4;1;2.47;25;0.15;3.7;0;0;0;0.43;0.43;0.43;0.43;0.43
10-10 block;0.6;0;0;0;0;0;162;4;1;2.47;25;0.15;3.7;100;0;0;0;0;0;0;0
Candy Panda Shooting;0.6;0;0;0;0;0;190;75;1;39.47;1.33;0.01;3.16;0;0;0;0;0;0;0;0
GyroSphere - iOS;0.6;0;0;0;0;0;190;73;1;38.42;1.37;0.01;3.16;0;0;0;0;0;0;0;0
toydefense 3;0.6;440;440;440;440;440;194;6;1;3.09;16.67;0.1;3.09;100;100;0;2.64;2.64;2.64;2.64;2.64
Iron Marines iOS;0.6;45.1;45.1;45.1;45.1;45.1;217;9;1;4.15;11.11;0.07;2.76;0;0;0;0.27;0.27;0.27;0.27;0.27
Fire Rides;0.6;0;0;55;55;55;235;5;3;2.13;60;0.12;2.55;0;0;0;0;0;0.33;0.33;0.33
magic spy;0.6;0;0;0;0;0;286;94;1;32.87;1.06;0.01;2.1;0;0;0;0;0;0;0;0
Online Soccer Manager (OSM);0.6;0;0;0;0;0;292;4;1;1.37;25;0.15;2.05;0;0;0;0;0;0;0;0
Dancing Line;0.6;0;0;0;0;0;295;9;1;3.05;11.11;0.07;2.03;100;0;0;0;0;0;0;0
.Penguin Pop iOS;0.6;0;0;0;0;0;338;62;1;18.34;1.61;0.01;1.78;0;0;0;0;0;0;0;0
BATTLE COPTERS;0.6;0;0;0;0;0;388;3;2;0.77;66.67;0.2;1.55;0;0;50;0;0;0;0;0
com.imprs.blob;0.6;0;0;0;0;0;478;121;2;25.31;1.65;0;1.26;0;100;0;0;0;0;0;0
Kitchen Craze iOS;0.6;0;0;0;0;0;478;62;1;12.97;1.61;0.01;1.26;0;0;0;0;0;0;0;0
BackgammonF;0.6;0;0;0;0;0;808;3;1;0.37;33.33;0.2;0.74;0;0;0;0;0;0;0;0
öŸÖöŸ±öŸçöŸ_öŸ«öŸ±öŸ¢;0.6;0;27.5;27.5;27.5;27.5;1168;483;4;41.35;0.83;0;0.51;75;66.7;0;0;0.17;0.17;0.17;0.17
fruit land;0.6;0;0;0;0;0;1976;22;1;1.11;4.55;0.03;0.3;0;0;0;0;0;0;0;0
street food corner;0.59;0;0;0;0;0;6;2;2;33.33;100;0.3;98.33;0;0;0;0;0;0;0;0
super car crash 2017;0.59;0;0;0;0;0;6;4;2;66.67;50;0.15;98.33;100;0;0;0;0;0;0;0
Color Ball Swap Splash (ND2);0.59;0;0;0;0;0;11;2;2;18.18;100;0.3;53.64;100;0;0;0;0;0;0;0
narwhalegame;0.59;67.12;67.12;67.12;67.12;67.12;21;7;2;33.33;28.57;0.08;28.1;0;0;0;0.4;0.4;0.4;0.4;0.4
croc's world 2;0.59;0;0;0;0;0;29;13;2;44.83;15.38;0.05;20.34;0;0;0;0;0;0;0;0
Neon Shadow Zero;0.59;0;0;0;0;0;33;2;2;6.06;100;0.3;17.88;0;0;0;0;0;0;0;0
AODD iOS;0.59;0;111.86;111.86;111.86;111.86;45;5;2;11.11;40;0.12;13.11;100;100;100;0;0.66;0.66;0.66;0.66
ragewars;0.59;0;0;0;0;0;47;19;2;40.43;10.53;0.03;12.55;0;0;0;0;0;0;0;0
Word Adventure;0.59;0;67.12;67.12;67.12;67.12;62;13;3;20.97;23.08;0.05;9.52;100;0;0;0;0.4;0.4;0.4;0.4
wedding;0.59;0;0;0;0;0;70;8;2;11.43;25;0.07;8.43;0;0;0;0;0;0;0;0
Amazing Air Plane Parking Saga;0.59;0;0;0;0;0;92;4;2;4.35;50;0.15;6.41;0;100;0;0;0;0;0;0
???? ???????;0.59;0;0;0;0;0;143;12;3;8.39;25;0.05;4.13;50;0;0;0;0;0;0;0
Pacific Bay;0.59;0;0;0;0;0;2650;16;2;0.6;12.5;0.04;0.22;50;0;0;0;0;0;0;0
Pool Party Games For Girls;0.58;0;267.41;267.41;267.41;267.41;31;3;2;9.68;66.67;0.19;18.71;0;0;0;0;1.55;1.55;1.55;1.55
rumble racing;0.58;0;0;0;0;0;49;24;2;48.98;8.33;0.02;11.84;0;0;0;0;0;0;0;0
teacher;0.58;0;0;0;0;0;53;13;2;24.53;15.38;0.04;10.94;0;0;0;0;0;0;0;0
hc: takedown;0.58;0;0;0;0;0;58;20;2;34.48;10;0.03;10;0;0;0;0;0;0;0;0
?????????;0.58;0;0;0;0;0;83;32;2;38.55;6.25;0.02;6.99;0;0;0;0;0;0;0;0
Crazy Freekick;0.58;0;0;0;0;0;87;5;2;5.75;40;0.12;6.67;0;0;0;0;0;0;0;0
__ïç_‹çÊ_Î__çÊ___ë - iOS;0.58;0;0;0;0;0;145;32;2;22.07;6.25;0.02;4;0;0;0;0;0;0;0;0
sushi;0.58;0;0;0;0;0;263;8;3;3.04;37.5;0.07;2.21;0;0;0;0;0;0;0;0
Sonic Dash 2: Sonic Boom;0.58;0;0;0;0;0;314;14;2;4.46;14.29;0.04;1.85;0;0;0;0;0;0;0;0
word search;0.58;0;0;0;0;0;324;52;2;16.05;3.85;0.01;1.79;0;0;0;0;0;0;0;0
Zombie Frontier 4 Î€µÎÁŸÎ_çç_Ë4 CN;0.58;0;0;0;0;56.9;520;50;2;9.62;4;0.01;1.12;0;0;0;0;0;0;0;0.33
drop assault;0.58;0;0;0;0;0;903;12;2;1.33;16.67;0.05;0.64;100;100;0;0;0;0;0;0
diep.io;0.57;0;0;0;0;0;1;1;1;100;100;0.57;570;0;0;0;0;0;0;0;0
to:war;0.57;0;0;0;0;0;1;1;1;100;100;0.57;570;0;0;0;0;0;0;0;0
hoverracer;0.57;0;0;173.68;173.68;173.68;1;1;1;100;100;0.57;570;0;0;0;0;0;0.99;0.99;0.99
dragon city brick builders;0.57;0;28.95;144.74;144.74;144.74;1;1;1;100;100;0.57;570;0;0;0;0;0.17;0.83;0.83;0.83
cute dolphin show 3d;0.57;0;0;0;0;0;1;1;1;100;100;0.57;570;0;0;0;0;0;0;0;0
passing;0.57;0;0;0;0;0;1;1;1;100;100;0.57;570;0;0;0;0;0;0;0;0
anime star fighting;0.57;0;0;0;0;0;1;1;1;100;100;0.57;570;0;0;0;0;0;0;0;0
transform snake robot city battle 2017;0.57;0;0;0;0;0;1;1;1;100;100;0.57;570;0;0;100;0;0;0;0;0
Apache;0.57;0;0;0;0;0;2;1;1;50;100;0.57;285;100;0;0;0;0;0;0;0
stranded island;0.57;28.95;28.95;28.95;28.95;28.95;3;2;1;66.67;50;0.29;190;0;0;100;0.17;0.17;0.17;0.17;0.17
crazy heroes crash arena;0.57;0;0;0;0;0;3;2;1;66.67;50;0.29;190;0;0;0;0;0;0;0;0
2016 dinosaur hunting park dino world hunter games;0.57;0;0;0;0;0;5;1;1;20;100;0.57;114;0;0;0;0;0;0;0;0
parkingmania;0.57;0;0;0;0;0;6;0;1;0;0;0;95;0;0;0;0;0;0;0;0
goalgod;0.57;0;0;0;0;0;6;1;1;16.67;100;0.57;95;0;0;0;0;0;0;0;0
com.libii.princessbeautysalon;0.57;0;0;0;0;0;7;3;1;42.86;33.33;0.19;81.43;0;0;0;0;0;0;0;0
idle space;0.57;0;0;0;0;0;7;1;1;14.29;100;0.57;81.43;0;100;0;0;0;0;0;0
412_d0237_ÜÅ_Ü‰_ÜÅñÜÅ_ÜÅËÜ‰ë iOSÎ†´çîéÜ€ÈÜ€¿Ü€_Ü€_;0.57;0;0;0;0;0;8;2;1;25;50;0.29;71.25;0;0;0;0;0;0;0;0
vr-crazy car traffic racing free;0.57;0;0;0;0;0;13;5;1;38.46;20;0.11;43.85;0;0;0;0;0;0;0;0
Burger Billionaire;0.57;0;0;231.58;231.58;231.58;15;3;3;20;100;0.19;38;0;0;0;0;0;1.32;1.32;1.32
japanese road racer;0.57;0;0;0;0;0;16;3;1;18.75;33.33;0.19;35.63;0;0;0;0;0;0;0;0
spider hero: criminal city legacy 3d;0.57;50.11;50.11;50.11;50.11;50.11;16;4;1;25;25;0.14;35.63;0;0;0;0.29;0.29;0.29;0.29;0.29
spider adventure;0.57;0;0;0;0;0;17;5;1;29.41;20;0.11;33.53;0;0;0;0;0;0;0;0
bob the robber 4;0.57;0;0;0;0;0;23;13;2;56.52;15.38;0.04;24.78;100;50;0;0;0;0;0;0
car race;0.57;0;0;0;0;0;23;3;1;13.04;33.33;0.19;24.78;0;0;0;0;0;0;0;0
Hocus Moving;0.57;0;0;0;0;0;23;5;1;21.74;20;0.11;24.78;0;0;0;0;0;0;0;0
Snake Battle;0.57;0;0;0;0;0;24;3;1;12.5;33.33;0.19;23.75;0;100;0;0;0;0;0;0
karl2;0.57;0;0;46.32;57.89;57.89;25;5;1;20;20;0.11;22.8;0;0;0;0;0;0.26;0.33;0.33
ggtan;0.57;0;0;0;0;0;26;2;1;7.69;50;0.29;21.92;0;0;100;0;0;0;0;0
my champion horse;0.57;0;0;0;0;0;28;16;1;57.14;6.25;0.04;20.36;0;0;0;0;0;0;0;0
design craft;0.57;0;0;0;0;0;32;10;1;31.25;10;0.06;17.81;0;0;0;0;0;0;0;0
turbo bugs 2;0.57;0;0;0;0;0;32;12;2;37.5;16.67;0.05;17.81;100;100;0;0;0;0;0;0
car driving 3d;0.57;0;0;0;0;0;37;16;1;43.24;6.25;0.04;15.41;0;0;0;0;0;0;0;0
Ü€_Ü€ÈÜ€´Ü€_Ü‰_Ü€îÜ€ÈÜ€€Ü€‹_„«_ìåç__Ü€é_ìåç´ÈçîÂ;0.57;0;0;0;0;0;41;1;1;2.44;100;0.57;13.9;100;0;0;0;0;0;0;0
cocoppaplay;0.57;0;0;0;0;0;61;2;1;3.28;50;0.29;9.34;0;0;0;0;0;0;0;0
??? ?????? 2;0.57;3517;5090.11;8983.76;16498.71;16637.66;64;4;3;6.25;75;0.14;8.91;100;0;100;20.05;29.01;51.21;94.04;94.83
yokee guitar;0.57;0;0;0;0;0;83;25;1;30.12;4;0.02;6.87;0;0;100;0;0;0;0;0
pretend airport;0.57;0;0;0;0;0;138;60;1;43.48;1.67;0.01;4.13;0;0;0;0;0;0;0;0
Driving Zone: Japan;0.57;0;0;0;0;0;175;58;2;33.14;3.45;0.01;3.26;0;0;0;0;0;0;0;0
dark sword;0.57;46.32;105.37;105.37;105.37;105.37;240;16;3;6.67;18.75;0.04;2.38;0;0;0;0.26;0.6;0.6;0.6;0.6
kitty love;0.57;0;0;0;0;0;284;26;3;9.15;11.54;0.02;2.01;0;0;0;0;0;0;0;0
Need a Hero VK iOS;0.57;19.65;19.65;19.65;19.65;42.81;310;7;3;2.26;42.86;0.08;1.84;0;0;100;0.11;0.11;0.11;0.11;0.24
wood puzzle;0.57;0;0;0;0;0;329;113;1;34.35;0.88;0.01;1.73;0;0;0;0;0;0;0;0
